,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
48,'di',-3202.76,0.1427,6.619,0.3145,4.10E-08,-2745.9,-2.0201,5.70E-05,10,1223,4,-0.18345,,,
49,'hed',-2844.16,0.1742,6.795,0.3402,8.12E-07,-1047.8,-2.6467,5.70E-05,10,1200,4,-0.18,,,
50,'jd',-3027.85,0.1335,6.04,0.3011,1.01E-05,-2239.3,-2.0551,4.66E-05,10,1284,4,-0.1926,,,
51,'acm',-2586.65,0.1706,6.459,0.3071,1.68E-05,-1685.5,-2.1258,4.66E-05,10,1060,4,-0.159,,,
52,'cats',-3307.03,0.138,6.356,0.3476,-6.97E-06,-1781.6,-2.7575,4.43E-05,10,1140,4,-0.171,,,
53,'rhod',-1321.75,0.1005,3.494,0.1384,4.09E-06,-1936,-0.5389,5.08E-05,10,1250,4,-0.1875,,,
54,'pxmn',-1322.53,0.0993,3.472,0.1384,4.09E-06,-1936,-0.5389,5.08E-05,10,1250,4,-0.1875,,,
55,'wo',-1634.06,0.0825,3.993,0.1593,0,-967.3,-1.0754,4.60E-05,10,795,4,-0.11925,,,
56,'pswo',-1627.69,0.0882,4.008,0.1578,0,-967.3,-1.0754,5.39E-05,10,1050,4,-0.1575,,,
57,'tr',-12310.38,0.55,27.27,1.2602,3.83E-06,-11455,-8.2376,5.34E-05,10,762,4,-0.1143,,,
58,'fact',-10511.24,0.705,28.28,1.29,3.00E-05,-8447.5,-8.947,5.34E-05,10,760,4,-0.114,,,
59,'ts',-12541.2,0.545,26.8,1.2448,2.43E-05,-11965,-8.1121,5.34E-05,10,760,4,-0.114,,,
60,'parg',-12720.65,0.601,27.19,1.2802,2.30E-05,-12359.5,-8.0658,5.34E-05,10,912,4,-0.1368,,,
61,'gl',-11969.47,0.535,26.05,1.7175,-0.00012107,7075,-19.272,5.30E-05,10,883,4,-0.13245,,,
62,'fgl',-10889.74,0.624,26.59,1.7629,-0.000118992,9423.7,-20.2071,5.30E-05,10,890,4,-0.1335,,,
63,'rieb',-10035.24,0.691,27.49,1.7469,-0.000113572,9370.3,-19.4687,5.30E-05,10,890,4,-0.1335,,,
64,'anth',-12069.2,0.536,26.54,1.2773,2.58E-05,-9704.6,-9.0747,5.00E-05,10,700,4,-0.105,,,
