,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
47,0.4846,-1.3808e-05,-198.9,-4.7622,5.42e-05,10.0,1465.0,4.0,-0.21975,0.0,,,,,,,,,,
48,mnctd,1.0,6.0,1.0,3.0,2.0,1.0,1.0,10.0,7.0,11.0,2.0,0.0,-3329.28,0.166,7.175,,,,
49,0.4644,-1.2654e-05,-1147.2,-4.341,5.42e-05,10.0,1465.0,4.0,-0.21975,0.0,,,,,,,,,,
50,merw,1.0,7.0,3.0,5.0,1.0,1.0,2.0,10.0,8.0,0.0,-4546.42,0.2531,9.847,,,,,,
51,0.4175,8.117e-06,-2923.0,-2.3203,6.15e-05,10.0,1200.0,4.0,-0.18,0.0,,,,,,,,,,
52,spu,5.0,7.0,5.0,1.0,2.0,12.0,1.0,10.0,11.0,0.0,-5849.52,0.33,14.697,,,,,,
53,0.6141,-3.508e-06,-2493.1,-4.168,6.5e-05,10.0,950.0,4.0,-0.1425,0.0,,,,,,,,,,
54,zo,1.0,7.0,2.0,3.0,3.0,1.0,3.0,10.0,13.0,11.0,1.0,0.0,-6898.61,0.297,13.575,,,,
55,0.5957,6.2297e-05,-5921.3,-3.3947,6.7e-05,10.0,1120.0,4.0,-0.168,0.0,,,,,,,,,,
56,cz,1.0,7.0,2.0,3.0,3.0,1.0,3.0,10.0,13.0,11.0,1.0,0.0,-6898.15,0.301,13.63,,,,
57,0.567,1.8063e-05,-7034.0,-2.603,4.6e-05,10.0,1120.0,4.0,-0.168,0.0,,,,,,,,,,
58,fep,2.0,7.0,2.0,3.0,1.0,4.0,2.0,1.0,3.0,10.0,13.0,11.0,1.0,0.0,-6002.18,0.357,14.19,,
59,0.5201,3.1499e-05,-15426.0,0.2188,5.05e-05,10.0,1294.0,4.0,-0.19928,0.0,,,,,,,,,,
60,ep,2.0,7.0,2.0,3.0,2.0,4.0,1.0,1.0,3.0,10.0,13.0,11.0,1.0,0.0,-6463.21,0.328,13.91,,
61,0.5446,2.4781e-05,-11230.0,-1.1921,5.05e-05,10.0,1233.0,4.0,-0.18495,0.0,,,,,,,,,,
62,law,1.0,7.0,1.0,3.0,2.0,1.0,2.0,10.0,10.0,11.0,4.0,0.0,-4869.14,0.23,10.132,,,,
63,0.6878,1.566e-06,375.9,-7.1792,5.82e-05,10.0,1014.0,4.0,-0.1521,0.0,,,,,,,,,,
64,pump,4.0,7.0,4.0,3.0,5.0,5.0,1.0,1.0,6.0,10.0,28.0,11.0,7.0,0.0,-14389.5,0.629,29.55,,
65,1.7208,-2.4928e-05,-5998.7,-14.6203,5e-05,10.0,1615.0,4.0,-0.24225,0.0,,,,,,,,,,
66,geh,1.0,7.0,2.0,3.0,2.0,1.0,1.0,10.0,7.0,0.0,-3986.88,0.202,9.024,,,,,,
67,0.4057,-7.099e-06,-1188.3,-3.1744,4.17e-05,10.0,1080.0,4.0,-0.162,1.0,700.0,0.011,0.097,,,,,,,
68,ak,1.0,7.0,2.0,5.0,1.0,1.0,2.0,10.0,7.0,0.0,-3866.36,0.2125,9.254,,,,,,
69,0.3854,3.209e-06,-247.5,-2.8899,5.08e-05,10.0,1420.0,4.0,-0.213,0.0,,,,,,,,,,
70,rnk,3.0,7.0,3.0,1.0,2.0,10.0,7.0,0.0,-3944.43,0.21,9.651,,,,,,,,
71,0.3723,-2.893e-06,-2462.4,-2.1813,6.5e-05,10.0,950.0,4.0,-0.1425,0.0,,,,,,,,,,
72,ty,5.0,7.0,5.0,1.0,2.0,12.0,2.0,10.0,13.0,0.0,-6368.16,0.39,17.039,,,,,,
73,0.7417,-5.345e-06,-1434.6,-5.8785,6.5e-05,10.0,950.0,4.0,-0.1425,0.0,,,,,,,,,,
74,crd,1.0,5.0,2.0,3.0,4.0,1.0,5.0,10.0,18.0,0.0,-9163.37,0.4075,23.322,,,,,,
75,0.8213,4.3339e-05,-8211.2,-5.0,7.6e-06,10.0,810.0,4.0,-0.1215,1.0,1800.0,0.02,0.2,,,,,,,
76,hcrd,1.0,5.0,2.0,3.0,4.0,1.0,5.0,10.0,19.0,11.0,2.0,0.0,-9446.98,0.4873,23.322,,,,
77,0.8697,5.1995e-05,-7723.7,-5.2512,7.6e-06,10.0,810.0,4.0,-0.1215,1.0,1800.0,0.02,0.2,,,,,,,
78,fcrd,2.0,4.0,2.0,3.0,4.0,1.0,5.0,10.0,18.0,0.0,-8436.07,0.475,23.71,,,,,,
79,0.8515,4.4724e-05,-6645.0,-5.6234,7.6e-06,10.0,810.0,4.0,-0.1215,1.0,1800.0,0.02,0.2,,,,,,,
80,mncrd,1.0,6.0,2.0,3.0,4.0,1.0,5.0,10.0,18.0,0.0,-8681.18,0.475,24.027,,,,,,
81,0.8477,2.849e-05,-7668.2,-5.3114,7.6e-06,10.0,810.0,4.0,-0.1215,1.0,1800.0,0.02,0.2,,,,,,,
82,phA,7.0,5.0,7.0,1.0,2.0,10.0,14.0,11.0,6.0,0.0,-7130.41,0.35,15.442,,,,,,
83,0.964,-1.1521e-05,-4517.8,-7.7247,8.26e-05,10.0,1450.0,4.0,-0.2175,0.0,,,,,,,,,,
84,sph,1.0,7.0,1.0,2.0,1.0,1.0,1.0,10.0,5.0,0.0,-2595.55,0.1312,5.565,,,,,,
85,0.2337,4.043e-06,-2306.5,-1.2076,4.2e-05,10.0,1100.0,4.0,-0.165,0.0,,,,,,,,,,
86,zrc,2.0,16.0,1.0,1.0,1.0,10.0,4.0,0.0,-2032.77,0.08403,3.926,,,,,,,,
87,0.237,-1.788e-05,-149.6,-2.2678,2.22e-05,10.0,1160.0,4.0,-0.174,0.0,,,,,,,,,,
88,en,1.0,5.0,2.0,1.0,2.0,10.0,6.0,0.0,-3090.47,0.1325,6.262,,,,,,,,
89,0.3562,-2.99e-06,-596.9,-3.1853,5.05e-05,10.0,1070.0,4.0,-0.1605,0.0,,,,,,,,,,
90,fs,2.0,4.0,2.0,1.0,2.0,10.0,6.0,0.0,-2388.63,0.1906,6.592,,,,,,,,
91,0.3987,-6.579e-06,1290.1,-4.058,6.32e-05,10.0,1010.0,4.0,-0.1515,0.0,,,,,,,,,,
92,mgts,1.0,5.0,1.0,3.0,2.0,1.0,1.0,10.0,6.0,0.0,-3189.32,0.131,5.9,,,,,,
93,0.3714,-4.082e-06,-398.4,-3.5471,5.08e-05,10.0,1144.0,4.0,-0.1716,0.0,,,,,,,,,,
