,rownum,mineral_name,min_sym,SiO2,TiO2,Al2O3,FeO,MgO,MnO,CaO,Na2O,K2O,O,H2O,CO2
86,87.0,al-free chlorite,'afchl',4,0,0,0,6,0,0.0,0.0,0.0,0.0,4.0,0.0
87,88.0,daphnite,'daph',3,0,1,5,0,0,0.0,0.0,0.0,0.0,4.0,0.0
88,89.0,mn-clorite,'mnchl',3,0,1,0,0,5,0.0,0.0,0.0,0.0,4.0,0.0
89,90.0,sudoite,'sud',3,0,2,0,2,0,0.0,0.0,0.0,0.0,4.0,0.0
90,91.0,fe-sudoite,'fsud',3,0,2,2,0,0,0.0,0.0,0.0,0.0,4.0,0.0
91,92.0,pyrophyllite,'prl',4,0,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0
92,93.0,talc,'ta',4,0,0,0,3,0,0.0,0.0,0.0,0.0,1.0,0.0
93,94.0,fe-talc,'fta',4,0,0,3,0,0,0.0,0.0,0.0,0.0,1.0,0.0
94,95.0,tschermak-talc,'tats',3,0,1,0,2,0,0.0,0.0,0.0,0.0,1.0,0.0
95,96.0,kaolinite,'kao',2,0,1,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0
96,97.0,prehnite,'pre',3,0,1,0,0,0,2.0,0.0,0.0,0.0,1.0,0.0
97,98.0,chrysotile,'chr',2,0,0,0,3,0,0.0,0.0,0.0,0.0,2.0,0.0
98,99.0,antigorite,'atg',34,0,0,0,48,0,0.0,0.0,0.0,0.0,31.0,0.0
99,100.0,albite,'ab',3,0,0.5,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0
100,101.0,high albite,'abh',3,0,0.5,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0
101,102.0,microcline,'mic',3,0,0.5,0,0,0,0.0,0.0,0.5,0.0,0.0,0.0
102,103.0,sanidine,'san',3,0,0.5,0,0,0,0.0,0.0,0.5,0.0,0.0,0.0
103,104.0,anorthite,'an',2,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
104,105.0,quartz,'q',1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
105,106.0,tridymite,'trd',1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
106,107.0,cristobalite,'crst',1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
107,108.0,coesite,'coe',1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
108,109.0,stishovite,'stv',1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
109,110.0,nepheline,'ne',1,0,0.5,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0
110,111.0,kalsilite,'kals',1,0,0.5,0,0,0,0.0,0.0,0.5,0.0,0.0,0.0
111,112.0,leucite,'lc',2,0,0.5,0,0,0,0.0,0.0,0.5,0.0,0.0,0.0
112,113.0,meionite,'me',6,0,3,0,0,0,4.0,0.0,0.0,0.0,0.0,1.0
113,114.0,wairakite,'wrk',4,0,1,0,0,0,1.0,0.0,0.0,0.0,2.0,0.0
114,115.0,laumontite,'lmt',4,0,1,0,0,0,1.0,0.0,0.0,0.0,4.0,0.0
115,116.0,heulandite,'heu',7,0,1,0,0,0,1.0,0.0,0.0,0.0,6.0,0.0
116,117.0,stilbite,'stlb',7,0,1,0,0,0,1.0,0.0,0.0,0.0,7.0,0.0
117,118.0,analcite,'anl',2,0,0.5,0,0,0,0.0,0.5,0.0,0.0,1.0,0.0
118,119.0,lime,'lime',0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
119,120.0,rutile,'ru',0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
120,121.0,periclase,'per',0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
121,122.0,manganosite,'mang',0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
122,123.0,corundum,'cor',0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
123,124.0,hematite,'hem',0,0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,0.0
124,125.0,nickel oxide,'NiO',0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0
125,126.0,pyrophanite,'pnt',0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
126,127.0,geikielite,'geik',0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
127,128.0,ilmanite,'ilm',0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
128,129.0,baddeleyite,'bdy',0,0,0,0,0,0,0.0,0.0,0.0,2.0,0.0,0.0
129,130.0,spinel,'sp',0,0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
130,131.0,hercynite,'herc',0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
131,132.0,magnetite,'mt',0,0,0,3,0,0,0.0,0.0,0.0,1.0,0.0,0.0
132,133.0,magnesioferrite,'mft',0,0,0,2,1,0,0.0,0.0,0.0,1.0,0.0,0.0
133,134.0,ulvospinel,'usp',0,1,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
134,135.0,brucite,'br',0,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0
135,136.0,diaspore,'dsp',0,0,0.5,0,0,0,0.0,0.0,0.0,0.0,0.5,0.0
136,137.0,goethite,'gth',0,0,0,1,0,0,0.0,0.0,0.0,0.5,0.5,0.0
137,138.0,calcite,'cc',0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0
138,139.0,aragonite,'arag',0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0
139,140.0,magnesite,'mag',0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0
140,141.0,siderite,'sid',0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0
141,142.0,rhodochrosite,'rhc',0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0
142,143.0,dolomite,'dol',0,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,2.0
143,144.0,ankerite,'ank',0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,2.0
144,145.0,,'syv',0,0,0,0,0,0,0.0,0.0,0.5,-0.5,0.0,0.0
145,146.0,,'hlt',0,0,0,0,0,0,0.0,0.5,0.0,-0.5,0.0,0.0
146,147.0,,'iron',0,0,0,1,0,0,0.0,0.0,0.0,-1.0,0.0,0.0
